SHALLOW,MUDFLAT,BKWATER,CONN_BW,CONN_TR,N_STRUC,SHAL_LZ,DIST_RZ,X_NUTRI,ALGAE,SEDIMEN,SHOREER,NOCOVES,SHOREHO,SUBSTHO,X_MACRO,N_MACRO,NN_PLNT,NN_ANIM,N_SHADE,N_ALLOC,WS_AGRI,WS_ANIM,WS_LOGS,N_NUTRI,IN_TURB,OR_TURB,VAR_TUR,VAR_DO2,O_STRAT,HI_TEMP,LO_TEMP,T_STRAT,DESTRAT,THERMAL,CONTAMN,POLLNPS,LOWRETE,LOWSTOR,WL_SEAS,WL_LONG,WLSHORT,WL_FAST,DIST_UP,DIST_AD,Latitude,Longitude,Elevation,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,CLUSID,WSA9
1,1,1,2,2,3,1,1,1,2,2,1,1,2,1,3,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,3,3,1,2,4,2,2,2,3,30.70833,-88.34167,26.58721652,19.14299965,11.70266724,41.13126373,647.8327026,32.54399872,4.092000008,28.45199966,26.4386673,15.29733372,26.79199982,10.92666721,1670,174,87,17.50685501,480,336,468,403,CPL3,CPL
2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,4,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3,1,1,1,1,1,1,1,1,34.42167,-86.39333,177.2590336,15.41233349,12.95933342,38.99185562,779.0861816,31.95999908,-1.276000023,33.23600006,7.166666508,21.02266693,24.83200073,5.578666687,1410,163,80,19.63808441,419,274,301,392,SAP1,SAP
1,0,1,0,1,1,0,2,2,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,3,0,2,1,1,0,2,1,1,0,1,0,1,0,1,1,33.78333,-86.05334,142.4221959,16.14666748,12.99800014,39.69581985,760.9389648,32.29600143,-0.448000014,32.7440033,8.142000198,21.58399963,25.35266685,6.544666767,1382,164,75,20.31415749,424,263,312,383,SAP1,SAP
0,1,3,4,4,1,1,3,1,1,4,3,5,1,2,1,2,1,1,0,0,1,1,2,1,1,1,1,1,1,0,0,1,0,1,3,2,0,0,1,0,0,0,1,4,33.25333,-87.45,39.69489507,16.76883316,13.05500031,39.86989975,758.4542236,32.87200165,0.128000006,32.7440033,8.803999901,22.23533249,25.91533279,7.199999809,1455,162,86,18.3511219,437,277,341,410,SAP1,SAP
4,3,3,3,3,3,1,3,2,1,3,3,3,3,2,4,1,3,3,2,1,3,1,3,3,3,3,3,1,2,2,1,2,2,1,3,3,2,3,1,2,1,1,3,2,31.385,-85.72167,59.34236324,18.48233414,11.77933407,40.46768188,667.7588501,32.39200211,3.28399992,29.10800171,11.45733356,19.21066666,26.37199974,9.965332985,1312,140,70,19.93333435,385,251,359,367,CPL4,CPL
2,2,0,0,1,0,2,2,2,1,3,3,3,3,3,2,0,2,1,0,0,1,1,2,0,3,3,3,1,1,0,0,2,1,0,1,2,1,1,1,1,1,1,2,3,32.83333,-88.16667,32.54777902,17.34516716,13.274333,40.53974152,751.4923706,33.2159996,0.472000003,32.74399948,9.510000229,22.68133354,26.3813324,7.857333183,1388,161,82,21.164608,429,257,304,398,CPL3,CPL
0,1,3,3,3,1,1,3,1,1,2,2,3,1,2,3,0,1,1,0,0,2,1,2,0,1,1,1,1,1,0,0,2,0,2,2,2,0,0,1,1,1,1,1,4,33.45667,-87.355,62.87076573,16.39033318,13.22200012,40.10069275,760.2533569,32.70399857,-0.268000007,32.97200012,8.372666359,21.90133286,25.5593338,6.788000107,1474,167,89,19.3987236,445,279,341,420,SAP1,SAP
1,2,1,1,2,1,2,1,2,1,2,1,1,2,2,2,1,1,2,1,1,2,1,1,0,1,1,1,2,2,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,32.61867,-86.25833,76.60634697,17.99950027,12.59500027,40.36341476,721.9455566,33.13999939,1.93599999,31.20399857,10.33333302,23.22133255,26.62333298,8.830666542,1405,167,69,21.84133148,434,272,335,402,SAP1,SAP
2,1,1,1,2,3,1,1,3,2,2,2,1,2,2,4,1,3,2,2,1,2,2,2,1,2,3,2,3,2,2,2,3,1,3,4,2,3,3,1,0,0,1,2,2,32.9637,-86.5171,114.5477198,17.0625,13.08899975,40.94406891,732.2996826,32.77600098,0.808000028,31.96800041,9.360666275,22.35533333,25.86466599,7.799999714,1448,172,78,21.11642075,446,281,337,409,SAP4,SAP
0,2,1,1,3,1,1,3,3,1,3,3,2,0,1,1,0,1,1,0,0,2,1,2,0,2,2,1,1,1,0,0,2,1,1,1,2,2,0,0,0,0,0,2,1,32.77833,-87.84167,23.01253017,17.43099976,13.21066666,40.60322571,747.0701294,33.27600098,0.74000001,32.5359993,9.662667274,22.77066612,26.42666626,8.013999939,1408,161,85,19.89821053,435,270,315,402,CPL3,CPL
